price,city,kms_driven,age,power,brand,owner
50001,Chinchwad,9150,9,220,Bajaj,First Owner
70000,Mumbai,2200,6,220,Bajaj,First Owner
27500,Ahmedabad,40000,9,220,Bajaj,First Owner
34500,Bareilly,22000,7,220,Bajaj,Third Owner
27500,Ahmedabad,40000,9,220,Bajaj,First Owner
40000,Mumbai,22295,8,220,Bajaj,First Owner
51000,Faridabad,30000,8,220,Bajaj,First Owner
53000,Navi Mumbai,15000,6,220,Bajaj,First Owner
42000,Bangalore,34502,7,220,Bajaj,Second Owner
38000,Kalyan,11544,9,220,Bajaj,First Owner
75000,Bangalore,7500,5,220,Bajaj,First Owner
55000,Mumbai,18000,6,220,Bajaj,First Owner
38000,Kalyan,11544,9,220,Bajaj,First Owner
45000,Chennai,8903,8,220,Bajaj,First Owner
45000,Chennai,8903,8,220,Bajaj,First Owner
56000,Chennai,27350,6,220,Bajaj,First Owner
77000,Delhi,19820,6,220,Bajaj,First Owner
53000,Delhi,15000,7,220,Bajaj,First Owner
51500,Delhi,4734,6,220,Bajaj,First Owner
52000,Barabanki,38943,6,220,Bajaj,First Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
41000,Delhi,20245,11,220,Bajaj,Second Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
41000,Delhi,20245,11,220,Bajaj,Second Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
41000,Delhi,20245,11,220,Bajaj,Second Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
50000,Bangalore,29134,7,220,Bajaj,First Owner
35000,Bangalore,60000,9,220,Bajaj,First Owner
